canonicalsmiles,mw,xlogp,polararea,rotbonds,hbonddonor,hbondacc,charge,anti_inflammatory
COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,608.7,4.0,118.0,10,1,10,0,0
C1=CN=CC=C1C(=O)NN,137.14,-0.7,68.0,1,2,3,0,0
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.12,-1.7,132.0,5,4,7,0,0
C(=CC(=O)O)C(=O)O,116.07,-0.3,74.6,2,2,4,0,0
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,464.8,4.1,92.4,5,3,7,0,0
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,467.5,-6.2,268.0,6,10,14,0,0
C(CCN)CC(C(=O)O)N,146.19,-3.0,89.3,5,3,4,0,0
C=O,30.026,1.2,17.1,0,0,1,0,0
C1C(C(=O)NO1)N,102.09,-1.5,64.4,0,2,3,0,0
CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,1449.2,-2.6,531.0,13,19,26,0,0
C(C(C(=O)O)N)O,105.09,-3.1,83.6,2,3,4,0,0
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.1,66.8,1,2,4,0,0
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,204.22,-1.1,79.1,3,3,3,0,0
C1=C(NC=N1)CC(C(=O)O)N,155.15,-3.2,92.0,3,3,4,0,0
C1=CC=CC=C1,78.11,2.1,0.0,0,0,0,0,0
C(CO)N,61.08,-1.3,46.2,1,2,2,0,0
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,324.4,2.9,45.6,4,1,4,0,0
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,484.5,-6.9,283.0,6,11,15,0,0
C1=CC(=CC(=C1)O)O,110.11,0.8,40.5,0,2,2,0,0
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.33,2.9,92.3,5,2,4,0,0
C1=C(C(=O)NC(=O)N1)F,130.08,-0.9,58.2,0,2,3,0,0
C1=CC(=CC=C1C(=O)O)N,137.14,0.8,63.3,1,2,3,0,0
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,371.5,7.1,12.5,8,0,2,0,0
CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,357.4,3.1,96.8,7,1,6,0,0
C(CCNCCCN)CN,145.25,-1.0,64.099,7,3,3,0,0
CCCCCC=CCC=CCCCCCCCC(=O)O,280.4,6.8,37.3,14,1,2,0,0
CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,308.3,2.7,63.6,4,1,4,0,0
C1CC(NC1)C(=O)O,115.13,-2.5,49.3,1,2,3,0,0
C1=CC(=C(N=C1)C(=O)O)C(=O)O,167.12,0.2,87.5,2,2,5,0,0
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,197.19,-2.7,104.0,3,4,5,0,0
CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,334.33,-0.4,147.0,4,3,8,0,0
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.5,1.3,206.0,5,6,12,0,0
C(COCCO)O,106.12,-1.3,49.7,4,2,3,0,0
C1=CC=C2C(=C1)C=CO2,118.13,2.7,13.1,0,0,1,0,0
C1=CC=C(C=C1)CCCC(=O)O,164.2,2.4,37.3,4,1,2,0,0
CC1=CNC2=CC=CC=C12,131.17,2.6,15.8,0,1,0,0,0
OO,34.015,-0.9,40.5,0,2,2,0,0
CCC=CCC=CCC=CCCCCCCCC(=O)O,278.4,5.9,37.3,13,1,2,0,0
C1=C(OC(=C1)C=O)CO,126.11,-0.6,50.4,2,1,3,0,0
C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,378.31,3.6,45.2,2,2,9,0,0
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,319.33,-1.0,72.9,3,2,7,0,0
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,331.34,-1.1,72.9,3,2,7,0,0
